10	{{3.10422101576861, -10.850785315318575}, {3.093215193326062, -10.90004355056364}, {3.107854536726392, -10.785510275239021}, {3.107224119519835, -10.653306225726617}}
20	{{3.324967224162417, -18.7328141576857}, {3.2465154804808876, -19.004163746174864}, {3.2908860988755455, -18.76708794162585}, {3.29946068609572, -18.58400263914726}}
30	{{3.413518409910899, -23.67068109867392}, {2.1984586024680066, -3023.400171716267}, {3.247416990587048, -24.543186219633963}, {3.328704981091761, -23.85622705163837}}
