{2.26300676208, 0.9887464703935777}	{3.1999270740053576, 1.4888784051171986}	{3.8069983301445665, 1.8071579691593413}	{4.258715082898994, 2.0420280947985834}	{4.619994570829498, 2.2285864577250356}	{4.919579287994667, 2.383695810078557}	{5.171864766150667, 2.516759614025805}	{5.385960868049195, 2.633503930345892}	{5.568646338462267, 2.7377320142178876}	{5.72829389477047, 2.8319515566320517}
{2.1228244476522034, 0.9060946648429522}	{3.0402837466848127, 1.3950191806719328}	{3.6383023327491433, 1.7077096368108469}	{4.083505910827203, 1.9385888008297067}	{4.438734838097778, 2.1220011971366515}	{4.734254146253293, 2.2744107026799543}	{4.986638379037669, 2.405035429758214}	{5.206930827285784, 2.5194719672448875}	{5.402524238347959, 2.6214168624320946}	{5.579056858345234, 2.713405807648059}
{1.7746416437124213, 0.836278282366694}	{2.660590537343451, 1.2663671530101885}	{3.2485686864888454, 1.554758192464973}	{3.6901046321806166, 1.7708970413078389}	{4.044980992687005, 1.9436229824945035}	{4.342287315633187, 2.0875297549796485}	{4.599050076022376, 2.2108826171148155}	{4.8249414319889175, 2.3189302099369167}	{5.027558504353323, 2.4150284192943916}	{5.212054260744985, 2.5015703953940798}
{1.479201993706141, 0.9244630850324401}	{2.347859017398969, 1.2586438213952238}	{2.911823409847609, 1.522903835716742}	{3.329608845567414, 1.7279747437507913}	{3.6614057299019964, 1.894170879649854}	{3.9365155806732246, 2.033599383451983}	{4.171536911276576, 2.153591351709686}	{4.377006467175401, 2.2588247132402928}	{4.559281224523676, 2.3525867372908955}	{4.723159121083064, 2.437122249985597}
{1.4623649875001792, 0.7732024351691483}	{2.281515005844088, 1.1492670165468606}	{2.8202118574000394, 1.422414195079742}	{3.2198583603043223, 1.631244987073976}	{3.5366648871554056, 1.799510628366819}	{3.7987118694536885, 1.9402004919300606}	{4.021948423990696, 2.0610157603190387}	{4.216268173549517, 2.1668596380375806}	{4.388262159320164, 2.261029018106916}	{4.54250155907628, 2.3458462598090053}
{1.6527101587906456, 0.4220924850321964}	{2.3894615264818806, 0.9166849715483477}	{2.9094554862612556, 1.2175737121499846}	{3.3056524037057335, 1.4378491688990367}	{3.6245243009960406, 1.612051960179154}	{3.8910203577368487, 1.7561975841000388}	{4.119445790109441, 1.879206725409027}	{4.319419731672774, 1.9864631537928437}	{4.49715504584108, 2.081560080870115}	{4.656929185138678, 2.166998006221375}
{1.720316398537409, 0.20958501969272275}	{2.392766811787615, 0.747217964113521}	{2.893267539403468, 1.0596515985159258}	{3.281947427904917, 1.284900269886416}	{3.5979764516908515, 1.4617909632933503}	{3.8636653661245206, 1.607598833044147}	{4.092596693553602, 1.7316705298484831}	{4.293565781765903, 1.839669527726016}	{4.472592987976171, 1.9352940498891724}	{4.633946678164152, 2.0210966014076033}
{1.5955267119003693, 0.17176393720935418}	{2.2479564739778684, 0.6983946305980268}	{2.734657699659008, 1.005697197839534}	{3.1127176554847975, 1.2281103798312736}	{3.4197637957302653, 1.4032151841058544}	{3.6773629547218603, 1.5477952227633978}	{3.8987845434675275, 1.6709659302204498}	{4.092638946761606, 1.7782726091290457}	{4.265286275233317, 1.8733189881477177}	{4.419638635828237, 1.9586952202647459}
{1.186350591437167, 0.3410036111515261}	{1.838100853573339, 0.7556220257854392}	{2.3074545345670456, 1.025445694403755}	{2.669090356346209, 1.2296026120752412}	{2.9615854427907222, 1.3941485920252545}	{3.2063640995381797, 1.5319776837961714}	{3.4164935247816173, 1.650529336610339}	{3.600323909242046, 1.7545248333755794}	{3.763595720651245, 1.8471406809800304}	{3.9103906465579183, 1.93061580738587}
{1.3473671815892256, 0.053649009546037595}	{1.9364659225006582, 0.5645526579778233}	{2.383246761962841, 0.8644947115258451}	{2.7323461406631715, 1.0837561399391198}	{3.0177569488746396, 1.2573143216928373}	{3.258149623759176, 1.4012649275480191}	{3.465458729948292, 1.5243109743690726}	{3.6475018518652464, 1.6317874491840318}	{3.8097177983651274, 1.7271986948632194}	{3.955953383299987, 1.8129909693506954}
